frame_count,1-h,1-s,1-v,condition,2-h,2-s,2-v,condition,3-h,3-s,3-v,conditon,4-h,4-s,4-v,condition,
80,169,255,255,alive,170,255,255,alive,169,255,255,alive,170,255,255,alive,
81,169,255,255,alive,169,255,255,alive,170,255,255,alive,169,255,255,alive,
82,169,255,255,alive,170,255,255,alive,170,255,255,alive,169,255,255,alive,
83,169,255,255,alive,171,255,255,alive,170,255,255,alive,169,255,255,alive,
84,169,255,255,alive,171,255,255,alive,170,255,255,alive,169,255,255,alive,
85,169,255,255,alive,0,255,255,alive,170,255,255,alive,169,255,255,alive,
86,169,255,255,alive,170,255,255,alive,170,255,255,alive,169,255,255,alive,
87,170,255,255,alive,169,255,255,alive,171,255,255,alive,169,255,255,alive,
88,170,255,255,alive,169,255,255,alive,171,255,255,alive,169,255,255,alive,
89,170,255,255,alive,170,255,255,alive,171,255,255,alive,169,255,255,alive,
90,170,255,255,alive,170,255,255,alive,173,255,255,alive,169,255,255,alive,
91,169,255,255,alive,169,255,255,alive,0,255,255,alive,169,255,255,alive,
92,169,255,255,alive,171,255,255,alive,170,255,255,alive,169,255,255,alive,
93,169,255,255,alive,171,255,255,alive,0,255,255,alive,168,255,255,alive,
94,169,255,255,alive,170,255,255,alive,170,255,255,alive,168,255,255,alive,
95,169,255,255,alive,171,255,255,alive,170,255,255,alive,169,255,255,alive,
96,170,255,255,alive,171,255,255,alive,169,255,255,alive,170,255,255,alive,
97,170,255,255,alive,171,255,255,alive,170,255,255,alive,170,255,255,alive,
98,169,255,255,alive,171,255,255,alive,170,255,255,alive,170,255,255,alive,
99,169,255,255,alive,171,255,255,alive,170,255,255,alive,169,255,255,alive,
100,169,255,255,alive,171,255,255,alive,170,255,255,alive,169,255,255,alive,
101,169,255,255,alive,171,255,255,alive,170,255,255,alive,169,255,255,alive,
102,169,255,255,alive,171,255,255,alive,170,255,255,alive,170,255,255,alive,
103,169,255,255,alive,171,255,255,alive,170,255,255,alive,170,255,255,alive,
104,169,255,255,alive,170,255,255,alive,170,255,255,alive,169,255,255,alive,
105,169,255,255,alive,170,255,255,alive,170,255,255,alive,169,255,255,alive,
106,168,255,255,alive,170,255,255,alive,170,255,255,alive,169,255,255,alive,
107,169,255,255,alive,171,255,255,alive,171,255,255,alive,169,255,255,alive,
108,169,255,255,alive,171,255,255,alive,171,255,255,alive,169,255,255,alive,
109,169,255,255,alive,171,255,255,alive,171,255,255,alive,169,255,255,alive,
110,169,255,255,alive,169,255,255,alive,170,255,255,alive,169,255,255,alive,
111,169,255,255,alive,171,255,255,alive,170,255,255,alive,169,255,255,alive,
112,169,255,255,alive,171,255,255,alive,170,255,255,alive,168,255,255,alive,
113,169,255,255,alive,171,255,255,alive,170,255,255,alive,168,255,255,alive,
114,169,255,255,alive,171,255,255,alive,170,255,255,alive,171,255,255,alive,
115,169,255,255,alive,171,255,255,alive,170,255,255,alive,168,255,255,alive,
116,169,255,255,alive,171,255,255,alive,170,255,255,alive,168,255,255,alive,
117,169,255,255,alive,171,255,255,alive,171,255,255,alive,168,255,255,alive,
118,170,255,255,alive,170,255,255,alive,170,255,255,alive,168,255,255,alive,
119,170,255,255,alive,171,255,255,alive,169,255,255,alive,168,255,255,alive,
120,169,255,255,alive,169,255,255,alive,170,255,255,alive,168,255,255,alive,
121,169,255,255,alive,171,255,255,alive,169,255,255,alive,168,255,255,alive,
122,169,255,255,alive,171,255,255,alive,170,255,255,alive,168,255,255,alive,
123,169,255,255,alive,171,255,255,alive,0,255,255,alive,168,255,255,alive,
124,169,255,255,alive,171,255,255,alive,170,255,255,alive,169,255,255,alive,
125,168,255,255,alive,170,255,255,alive,170,255,255,alive,169,255,255,alive,
126,169,255,255,alive,169,255,255,alive,170,255,255,alive,169,255,255,alive,
127,169,255,255,alive,170,255,255,alive,169,255,255,alive,168,255,255,alive,
128,169,255,255,alive,171,255,255,alive,170,255,255,alive,169,255,255,alive,
129,169,255,255,alive,170,255,255,alive,170,255,255,alive,170,255,255,alive,
130,169,255,255,alive,171,255,255,alive,170,255,255,alive,169,255,255,alive,
131,169,255,255,alive,171,255,255,alive,170,255,255,alive,168,255,255,alive,
